Simulation before VR HMD,Simulation after VR HMD,Real World before VR HMD,Real World after VR HMD
0.0,0.0,0.0,9.54
0.0,9.54,0.0,9.54
0.0,0.0,0.0,0.0
0.0,0.0,0.0,9.54
0.0,0.0,0.0,0.0
0.0,19.08,0.0,28.619999999999997
0.0,9.54,0.0,0.0
0.0,9.54,0.0,0.0
0.0,0.0,0.0,9.54
0.0,0.0,0.0,9.54
0.0,0.0,0.0,9.54
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,9.54,0.0,19.08
0.0,19.08,0.0,0.0
0.0,9.54,0.0,28.619999999999997
0.0,0.0,0.0,19.08
0.0,0.0,0.0,9.54
