Controller,Modality,Mean,Median,σ,IQR
CHIRON,With VR,301.1222748933015,270.0604858398437,112.8631927401916,125.72451782226562
WBC,With VR,510.98078125,509.4769287109375,180.40357419716545,279.2311096191406
CHIRON,Without VR,222.8096713362069,206.77200317382807,91.81256310110803,84.79473876953125
WBC,Without VR,321.88173616849457,288.9901428222656,120.66637497398295,147.5282592773438
