Folder,Controller,Start_Modality,Task_1,Task_2,Task_3,Task_4,Task_5
XHKB15-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,31.31001663208008,131.91064453125,157.64675903320312,177.85487365722656,219.91128540039065
XHKB15-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,46.1767578125,108.76123046875,140.61744689941406,175.91368103027344,209.56228637695312
XHKB15-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,40.02979278564453,85.11837005615234,113.9421844482422,138.16639709472656,173.918701171875
DOFS27-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,49.91669845581055,134.07737731933594,174.52561950683594,206.6140289306641,253.8542938232422
DOFS27-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,74.52069854736328,127.14505004882812,150.50523376464844,164.41737365722656,186.257568359375
DOFS27-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,48.29697036743164,169.46609497070312,209.43431091308597,235.76290893554688,290.5310363769531
DOFS27-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,78.1565933227539,142.14108276367188,162.1331787109375,178.49331665039062,201.5814666748047
DOFS27-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,56.4405403137207,104.28965759277344,128.15313720703125,144.9212188720703,164.54541015625
DOFS27-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,40.32579040527344,112.81398010253906,140.19029235839844,169.99855041503906,213.32688903808597
IICM04-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,259.1838073730469,396.1366271972656,446.3929443359375,613.3140869140625,684.842529296875
IICM04-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,278.0001220703125,408.281005859375,531.40185546875,602.5861206054688,660.9304809570312
IICM04-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,92.14289093017578,426.8810119628906,505.0574951171875,617.0183715820312,691.0426635742188
IICM04-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,177.2056121826172,303.1105041503906,335.2306823730469,399.3514404296875,446.69537353515625
IICM04-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,213.2950897216797,380.3036193847656,431.4479675292969,534.4566650390625,605.7769165039062
IICM04-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,120.46929168701172,197.4220123291016,249.2220916748047,348.9026794433594,393.0549926757813
LEMT02-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,189.12005615234372,308.54461669921875,436.8094177246094,637.2665405273438,710.2349853515625
MGNH15-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,73.4349365234375,116.95559692382812,166.88356018066406,214.6279296875,238.2361297607422
MGNH15-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,43.5248908996582,202.36622619628903,253.15045166015625,326.4230041503906,453.7439575195313
MGNH15-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,112.49765014648438,339.9636535644531,430.179931640625,460.7001953125,619.3096313476562
MGNH15-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,58.477176666259766,200.9902801513672,308.5590515136719,373.8475036621094,433.5920104980469
MGNH15-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,79.91730499267578,263.7906188964844,292.1273803710937,331.6950378417969,391.103759765625
MGNH15-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,38.101165771484375,132.0057373046875,186.14212036132807,212.67030334472656,232.6066131591797
NRKH02-RW-NO-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,97.4620361328125,220.1509246826172,242.18313598632807,263.19921875,290.9354553222656
NRKH02-RW-NO-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,92.42473602294922,175.75320434570312,190.041259765625,210.68948364257807,249.1697540283203
NRKH02-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,WITH-VR,125.89825439453124,297.5872802734375,371.8759460449219,457.94049072265625,509.4769287109375
NRKH02-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,130.2999725341797,219.33255004882807,283.43707275390625,638.6473388671875,705.2556762695312
NRKH02-RW-NO-VR-TRIAL-1-ROSBAG,WBC,WITH-VR,94.71600341796876,238.6129608154297,271.9732360839844,335.173828125,364.7900390625
NRKH02-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,WITH-VR,179.64002990722656,317.1051330566406,368.9775695800781,433.3865966796875,509.1706848144531
ARAH22-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,61.15253448486328,141.70510864257812,150.6733856201172,171.04139709472656,190.9533843994141
ARAH22-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,92.70188903808594,168.43026733398438,215.2626037597656,274.4230651855469,294.5032043457031
ARAH22-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,83.77598571777344,153.7119903564453,231.77655029296875,303.8489990234375,340.28131103515625
