,Time,data,data_numeric
170,1732617529.271452,Head Camera,2
171,1732617529.379215,Head Camera,2
172,1732617529.5700593,Head Camera,2
173,1732617529.660711,Head Camera,2
174,1732617529.9008791,Head Camera,2
175,1732617530.1832747,Head Camera,2
176,1732617530.266309,Head Camera,2
177,1732617530.3802483,Head Camera,2
178,1732617530.5410612,Head Camera,2
179,1732617530.7434192,Head Camera,2
180,1732617531.067011,Head Camera,2
181,1732617531.1830263,Head Camera,2
182,1732617531.3612015,Head Camera,2
183,1732617531.5622144,Head Camera,2
184,1732617531.8257017,Head Camera,2
185,1732617532.1454446,Head Camera,2
186,1732617532.235152,Head Camera,2
187,1732617532.4462323,Head Camera,2
188,1732617532.6907542,Head Camera,2
189,1732617532.8289292,Head Camera,2
190,1732617533.102111,Head Camera,2
191,1732617533.235036,Head Camera,2
192,1732617533.436087,Head Camera,2
193,1732617533.6362147,Head Camera,2
194,1732617533.7758536,Head Camera,2
195,1732617534.08606,Head Camera,2
196,1732617534.2309415,Head Camera,2
197,1732617534.433053,Head Camera,2
198,1732617534.4862297,Head Camera,2
199,1732617534.5498228,Head Camera,2
200,1732617535.0423405,Head Camera,2
201,1732617535.1611197,Head Camera,2
202,1732617535.271771,Head Camera,2
203,1732617535.3500886,Head Camera,2
204,1732617535.5231156,Head Camera,2
205,1732617535.807073,Head Camera,2
206,1732617535.8910763,Head Camera,2
207,1732617535.939005,Head Camera,2
208,1732617536.332755,Head Camera,2
209,1732617536.5336442,Head Camera,2
210,1732617536.77193,Head Camera,2
211,1732617536.8612025,Head Camera,2
212,1732617537.1293228,Head Camera,2
213,1732617537.2269714,Head Camera,2
214,1732617537.3167548,Head Camera,2
215,1732617537.599877,Head Camera,2
216,1732617537.713316,Head Camera,2
217,1732617537.8298042,Head Camera,2
218,1732617537.9901507,Head Camera,2
219,1732617538.1874406,Head Camera,2
220,1732617538.4355357,Head Camera,2
221,1732617538.569154,Head Camera,2
222,1732617538.6475506,Head Camera,2
223,1732617538.7102754,Head Camera,2
224,1732617538.8638792,Head Camera,2
225,1732617539.221237,Head Camera,2
226,1732617539.3403995,Head Camera,2
227,1732617539.399768,Head Camera,2
228,1732617539.510857,Head Camera,2
229,1732617539.7817893,Head Camera,2
230,1732617540.0556216,Head Camera,2
231,1732617540.1509109,Head Camera,2
232,1732617540.2490125,Head Camera,2
233,1732617540.4436872,Head Camera,2
234,1732617540.5614712,Head Camera,2
235,1732617540.8458626,Head Camera,2
236,1732617540.9507434,Head Camera,2
237,1732617541.018799,Head Camera,2
238,1732617541.305622,Head Camera,2
239,1732617541.429258,Head Camera,2
240,1732617541.651609,Head Camera,2
241,1732617541.741443,Head Camera,2
242,1732617541.904277,Head Camera,2
243,1732617541.9889596,Head Camera,2
244,1732617542.1728716,Head Camera,2
245,1732617542.395619,Head Camera,2
246,1732617542.5258842,Head Camera,2
247,1732617542.6093688,Head Camera,2
248,1732617542.769472,Head Camera,2
249,1732617542.963695,Head Camera,2
250,1732617543.1998444,Head Camera,2
251,1732617543.3095562,Head Camera,2
252,1732617543.494562,Head Camera,2
253,1732617543.6295247,Head Camera,2
254,1732617543.6851923,Head Camera,2
255,1732617544.0443506,Head Camera,2
256,1732617544.1733413,Head Camera,2
257,1732617544.242681,Head Camera,2
258,1732617544.2882245,Head Camera,2
259,1732617544.372397,Head Camera,2
260,1732617544.7520669,Head Camera,2
261,1732617544.8718324,Head Camera,2
262,1732617544.9196353,Head Camera,2
263,1732617545.1543815,Head Camera,2
264,1732617545.2567585,Head Camera,2
265,1732617545.4562094,Head Camera,2
266,1732617545.5409048,Head Camera,2
267,1732617545.749246,Head Camera,2
268,1732617545.8486288,Head Camera,2
269,1732617545.9315028,Head Camera,2
270,1732617546.1848764,Head Camera,2
271,1732617546.2711265,Head Camera,2
272,1732617546.547149,Head Camera,2
273,1732617546.6530433,Head Camera,2
274,1732617546.8085003,Head Camera,2
275,1732617547.0273764,Head Camera,2
276,1732617547.1374414,Head Camera,2
277,1732617547.1899111,Head Camera,2
278,1732617547.2736764,Head Camera,2
279,1732617547.3296566,Head Camera,2
280,1732617547.6385725,Head Camera,2
281,1732617547.737286,Head Camera,2
282,1732617547.8711193,Head Camera,2
283,1732617548.070004,Head Camera,2
284,1732617548.3343723,Head Camera,2
285,1732617548.5539043,Head Camera,2
286,1732617548.6421523,Head Camera,2
287,1732617548.7076907,Head Camera,2
288,1732617549.0022457,Head Camera,2
289,1732617549.1240473,Head Camera,2
290,1732617549.368777,Head Camera,2
291,1732617549.4688532,Head Camera,2
292,1732617549.618941,Head Camera,2
293,1732617549.774747,Head Camera,2
294,1732617549.849743,Head Camera,2
295,1732617550.13468,Head Camera,2
296,1732617550.26707,Head Camera,2
297,1732617550.346032,Head Camera,2
298,1732617550.455573,Head Camera,2
299,1732617550.7207243,Head Camera,2
300,1732617550.9770846,Head Camera,2
301,1732617551.0683029,Head Camera,2
302,1732617551.141472,Head Camera,2
303,1732617551.3097434,Head Camera,2
304,1732617551.5094776,Head Camera,2
305,1732617551.8771012,Head Camera,2
306,1732617551.9439,Head Camera,2
307,1732617552.110181,Head Camera,2
308,1732617552.2068648,Head Camera,2
309,1732617552.3137271,Head Camera,2
310,1732617552.7590735,Head Camera,2
311,1732617552.8708134,Head Camera,2
312,1732617553.0324378,Head Camera,2
313,1732617553.089828,Head Camera,2
314,1732617553.258461,Head Camera,2
315,1732617553.5729103,Head Camera,2
316,1732617553.685525,Head Camera,2
317,1732617553.9054792,Head Camera,2
318,1732617554.0042498,Head Camera,2
319,1732617554.059627,Head Camera,2
320,1732617554.3028674,Head Camera,2
321,1732617554.439496,Head Camera,2
322,1732617554.5345967,Head Camera,2
323,1732617554.7644515,Head Camera,2
324,1732617554.8990867,Head Camera,2
325,1732617555.1416557,Head Camera,2
326,1732617555.2358978,Head Camera,2
327,1732617555.4946842,Head Camera,2
328,1732617555.6940987,Head Camera,2
329,1732617555.8943253,Head Camera,2
330,1732617556.1164937,Head Camera,2
331,1732617556.2373765,Head Camera,2
332,1732617556.4247005,Head Camera,2
333,1732617556.521707,Head Camera,2
334,1732617556.8219151,Head Camera,2
335,1732617557.132101,Head Camera,2
336,1732617557.3734694,Head Camera,2
337,1732617557.6152885,Head Camera,2
338,1732617557.7290366,Head Camera,2
339,1732617557.9489944,Head Camera,2
340,1732617558.2017913,Head Camera,2
341,1732617558.3249748,Head Camera,2
342,1732617558.5447085,Head Camera,2
343,1732617558.6524615,Head Camera,2
344,1732617558.9168582,Head Camera,2
345,1732617559.164765,Head Camera,2
346,1732617559.2359862,Head Camera,2
347,1732617559.3280327,Head Camera,2
348,1732617559.4458444,Head Camera,2
349,1732617559.7388208,Head Camera,2
350,1732617560.0034285,Head Camera,2
351,1732617560.067514,Head Camera,2
352,1732617560.1558778,Head Camera,2
353,1732617560.5050187,Head Camera,2
354,1732617560.575302,Head Camera,2
355,1732617560.8487234,Head Camera,2
356,1732617560.9450376,Head Camera,2
357,1732617561.085512,Head Camera,2
358,1732617561.1954453,Head Camera,2
359,1732617561.314618,Head Camera,2
360,1732617561.6820006,Head Camera,2
361,1732617561.7834904,Head Camera,2
362,1732617562.0608478,Head Camera,2
363,1732617562.212831,Head Camera,2
364,1732617562.3947697,Head Camera,2
365,1732617562.680876,Head Camera,2
366,1732617562.7739136,Head Camera,2
367,1732617563.012975,Head Camera,2
368,1732617563.1212835,Head Camera,2
369,1732617563.3211532,Head Camera,2
370,1732617563.611017,Head Camera,2
371,1732617563.6906538,Head Camera,2
372,1732617563.7487843,Head Camera,2
373,1732617563.817865,Head Camera,2
374,1732617564.0584042,Head Camera,2
375,1732617564.3067913,Head Camera,2
376,1732617564.4144454,Head Camera,2
377,1732617564.5368588,Head Camera,2
378,1732617564.778408,Head Camera,2
379,1732617564.8820362,Head Camera,2
380,1732617565.1831522,Head Camera,2
381,1732617565.2956347,Head Camera,2
382,1732617565.5087416,Head Camera,2
383,1732617565.6429863,Head Camera,2
384,1732617565.7324476,Head Camera,2
385,1732617565.9811287,Head Camera,2
386,1732617566.0940292,Head Camera,2
387,1732617566.143969,Head Camera,2
388,1732617566.296811,Head Camera,2
389,1732617566.5667996,Head Camera,2
390,1732617566.7867253,Head Camera,2
391,1732617566.9031594,Head Camera,2
392,1732617567.03108,Head Camera,2
393,1732617567.1155844,Head Camera,2
394,1732617567.3035786,Head Camera,2
395,1732617567.5036905,Head Camera,2
396,1732617567.695921,Head Camera,2
397,1732617567.7694342,Head Camera,2
398,1732617567.9593196,Head Camera,2
399,1732617568.0933142,Head Camera,2
400,1732617568.306765,Head Camera,2
401,1732617568.3935466,Head Camera,2
402,1732617568.5561435,Head Camera,2
403,1732617568.671486,Head Camera,2
404,1732617568.8273249,Head Camera,2
405,1732617569.0493093,Head Camera,2
406,1732617569.160215,Head Camera,2
407,1732617569.2623663,Head Camera,2
408,1732617569.397689,Head Camera,2
409,1732617569.6227396,Head Camera,2
410,1732617569.9181964,Head Camera,2
411,1732617570.0019054,Head Camera,2
412,1732617570.2211015,Head Camera,2
413,1732617570.3737063,Head Camera,2
414,1732617570.5293102,Head Camera,2
415,1732617570.87273,Head Camera,2
416,1732617570.9798255,Head Camera,2
417,1732617571.0725656,Head Camera,2
418,1732617571.244835,Head Camera,2
419,1732617571.393365,Head Camera,2
420,1732617571.6719134,Head Camera,2
421,1732617571.778388,Head Camera,2
422,1732617571.8281198,Head Camera,2
423,1732617572.0718834,Head Camera,2
424,1732617572.1820507,Head Camera,2
425,1732617572.4737198,Head Camera,2
426,1732617572.5769746,Head Camera,2
427,1732617572.695552,Head Camera,2
428,1732617572.946018,Head Camera,2
429,1732617573.0697942,Head Camera,2
430,1732617573.3208172,Head Camera,2
431,1732617573.4328125,Head Camera,2
432,1732617573.625834,Head Camera,2
433,1732617573.9101024,Head Camera,2
434,1732617574.0145297,Head Camera,2
435,1732617574.277403,Head Camera,2
436,1732617574.3837097,Head Camera,2
437,1732617574.5904524,Head Camera,2
438,1732617574.693859,Head Camera,2
439,1732617574.8722663,Head Camera,2
440,1732617575.1224682,Head Camera,2
441,1732617575.3189044,Head Camera,2
442,1732617575.4331186,Head Camera,2
443,1732617575.51397,Head Camera,2
444,1732617575.5488336,Head Camera,2
445,1732617576.0092084,Head Camera,2
446,1732617576.1175494,Head Camera,2
447,1732617576.200764,Head Camera,2
448,1732617576.244226,Head Camera,2
449,1732617576.5649407,Head Camera,2
450,1732617576.8373222,Head Camera,2
451,1732617576.902443,Head Camera,2
452,1732617576.98178,Head Camera,2
453,1732617577.254074,Head Camera,2
454,1732617577.3716366,Head Camera,2
455,1732617577.6085927,Head Camera,2
456,1732617577.7061872,Head Camera,2
457,1732617577.790928,Head Camera,2
458,1732617577.848446,Head Camera,2
459,1732617577.8934834,Head Camera,2
460,1732617578.2540286,Head Camera,2
461,1732617578.373015,Head Camera,2
462,1732617578.5427675,Head Camera,2
463,1732617578.7696257,Head Camera,2
464,1732617578.966754,Head Camera,2
465,1732617579.196468,Head Camera,2
466,1732617579.3029745,Head Camera,2
467,1732617579.411757,Head Camera,2
468,1732617579.63002,Head Camera,2
469,1732617579.8310726,Head Camera,2
470,1732617580.1072342,Head Camera,2
471,1732617580.301519,Head Camera,2
472,1732617580.4121969,Head Camera,2
473,1732617580.5261629,Head Camera,2
474,1732617580.6327574,Head Camera,2
475,1732617581.0305967,Head Camera,2
476,1732617581.0918255,Head Camera,2
477,1732617581.150832,Head Camera,2
